site_name,lat,long,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30
Aspen Park,39.541515,-105.29841,0.03613658064516129,0.03718096428571428,0.04222393548387097,0.04661527586206896,0.04502278571428571,0.045673413793103454,0.05072483870967742,0.04801466666666667,0.03964089655172414,0.029714499999999998,0.03511966666666667,0.03252731034482759,0.036422857142857146,0.03878007407407407,0.0411901,0.0421882,0.040500999999999995,0.0436862,0.04326033333333333,0.0457942,0.045340285714285715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aurora East,39.638522,-104.56933500000001,,,,,,,,,,,,,,0.03461,,,,,,,,,,,,,,,,,,,,,,,,0.034348555555555556,,,,,,,,,,,,,,,,,,,
Aurora East,39.638522,-104.569335,0.0339138,0.035423115384615386,0.04328438709677419,0.04543726666666667,0.04759393548387097,,,0.049241129032258066,0.039178399999999995,0.03083867741935484,0.032318318181818184,0.03345175,0.036434857142857144,,0.04200193333333333,0.0441962,0.04309536666666667,0.047449,0.04723151612903226,0.04984025806451613,,0.03647441935483871,0.031851136363636366,0.03584944,0.03600476,,0.03894796153846154,,0.04344596774193548,0.0458706,0.046229433333333333,0.052292200000000004,0.042189000000000004,0.03469803333333333,0.03273326666666667,0.03185921428571429,0.03267846666666667,,0.04211761290322581,0.0423902,0.04145264516129032,0.04853646666666667,0.05707353571428571,0.054345387096774195,0.04865967857142857,0.03976661290322581,0.034699999999999995,0.03592746666666667,0.03646493548387097,0.040829892857142856,0.04174003225806452,,0.04538309375,,0.05052435483870968,0.05038516129032258,
Aurora East,39.63852200000001,-104.569335,,,,,,0.04961275862068965,0.05310755172413793,,,,,,,,,,,,,,0.04401820689655172,,,,,0.04106896551724138,,0.04368758620689655,,,,,,,,,,,,,,,,,,,,,,,,0.04583775862068966,,0.04822110344827586,,,0.04308320689655173
Boulder Reservoir,40.070016,-105.22023800000001,0.025404633333333333,,,,0.04502353333333333,,,,0.0392823,,0.02920973333333333,,,,,,,,0.04510003333333334,,,0.030645099999999998,0.0262254,0.0250824,,,,,,0.04400843333333333,,0.051040833333333334,,,0.02911103333333333,,,,0.04126863333333333,,0.038931466666666664,0.04766076666666667,0.0548792,,,,,,0.028764699999999997,,,0.0449098,,,,,
Boulder Reservoir,40.070016,-105.220238,,0.033185185185185186,0.03925993548387097,0.04320485185185185,,0.0474288275862069,0.05186722580645161,0.050075903225806455,,0.0295718,,0.02500410344827586,0.027131,0.028666703703703705,0.039332064516129035,0.04120779310344827,0.039278129032258066,0.045886482758620686,,0.04666983870967742,0.04179713793103448,,,,0.0316958275862069,0.03779106896551725,0.03538525806451613,,0.042623857142857144,,0.04594503225806452,,0.03921788888888889,0.030741838709677418,,0.027928111111111112,0.028626193548387097,0.03358388888888889,,0.041803206896551724,,,,0.05163948387096774,0.04689257142857143,0.03505306451612904,0.031565862068965514,0.032251586206896554,,0.037264678571428574,0.03831506451612903,,0.04312134482758621,0.04699371428571429,0.046867193548387094,0.04707506896551725,0.038004
Boulder Reservoir,40.070016,-105.22023799999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04257246153846154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENVER - CAMP,39.751184,-104.987625,0.014378333333333333,0.018617607142857144,0.030823032258064514,0.0376382962962963,0.03923151612903226,,0.047169,0.043549,0.031022633333333334,0.018980466666666664,0.018840285714285716,0.01689985185185185,0.015659607142857142,0.01771459259259259,0.028871,0.0343588,0.033962483870967744,0.0410539,0.0423392,0.044243387096774195,0.03486274074074074,0.023143166666666666,0.0143901,0.014607866666666667,0.020120607142857145,0.024565333333333335,0.028454966666666668,,0.03767922580645161,,,0.047258428571428576,0.03314123333333333,0.022778064516129033,,,0.017066451612903225,0.020191703703703705,0.02783536666666667,0.031575185185185185,0.03221842857142857,0.0428138,0.052453548387096774,,0.038317566666666664,0.02662816129032258,0.020114833333333335,0.018547033333333334,0.015476322580645161,0.02213867857142857,0.025879545454545457,0.0370569,0.03951996774193549,0.044723533333333336,0.04719167741935484,,0.03500440740740741
DENVER - CAMP,39.75118400000001,-104.987625,,,,,,0.04209934482758621,,,,,,,,,,,,,,,,,,,,,,0.03550503448275862,,0.038687689655172414,0.04228003448275862,,,,0.019190724137931034,0.01832051724137931,,,,,,,,0.04752255172413793,,,,,,,,,,,,0.04807396551724138,
Evergreen,39.620408,-105.33872000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.033728,,,,,,,,,,,,,,,,,,,,,
Evergreen,39.620408,-105.33872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03042188,0.0302196,,0.03165752631578947,,0.036954749999999995,0.03789555555555556,0.03472692,0.0420706,0.049503222222222226,0.049901857142857144,0.0476628,0.038946935483870966,0.03654876666666666,0.03909131034482759,0.039411714285714286,0.04344957142857143,0.04311951612903226,0.04659434482758621,0.04329851515151516,0.04349585714285714,0.0403738064516129,0.04473061290322581,0.04150913793103448
Evergreen,39.620408,-105.33871999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03294913636363636,,,,,,,,,,,,,,,,,,,
HIGHLAND RESERVOIR,39.56788699999999,-104.957193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04338344444444445
HIGHLAND RESERVOIR,39.567887,-104.957193,0.026758392857142856,,0.040985266666666666,0.04589848275862069,0.0482762,,0.05447063333333334,0.049637548387096775,0.03997365517241379,0.028100612903225807,0.02829037931034483,0.0272891,0.027918354838709677,0.02782459090909091,0.036093,,0.0416906129032258,0.0484842,0.0484723870967742,0.05147058064516129,0.04388441379310345,0.03264141935483871,0.026969344827586207,0.029159551724137932,0.03077606451612903,0.03459834482758621,0.03670432258064516,0.04427843333333333,0.04574241935483871,0.04665096666666667,0.04825003571428571,0.05574383870967742,0.043147000000000005,0.033532266666666664,0.03175883333333333,0.030780466666666666,0.028988200000000002,0.030006321428571427,0.0405195,0.0420099,0.04155881818181818,0.05108033333333333,0.061869129032258066,0.056074064516129035,0.048460500000000004,0.03665756666666666,0.030347000000000002,0.030389482758620686,0.029098645161290324,0.03407989285714286,0.03712529032258065,0.043953099999999995,0.044631757575757575,0.04921956666666667,0.05141170967741936,0.051882741935483874,
HIGHLAND RESERVOIR,39.567887,-104.95719299999999,,0.026815000000000002,,,,0.05082896153846154,,,,,,,,,,0.04040496153846154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Casa,39.77949,-105.00518000000001,,,,,,,,0.04435142307692308,,,,,,,,0.03461884615384615,,,,,,,0.014416384615384616,,,,,,,,,,,,,,,,,,,,,,,,,0.018380153846153845,,,,,,,,,
La Casa,39.77949,-105.00518,0.015135074074074073,0.020855000000000002,,0.03724625925925926,0.04002096774193548,0.0430344,0.04681103225806452,,,0.018491483870967742,0.018148068965517242,0.01626057142857143,0.018026166666666666,0.019167190476190477,0.029762741935483873,,0.03382541935483871,0.0407891724137931,0.04147086206896552,0.042510387096774196,,0.021155928571428572,,0.014154740740740742,0.018734354838709676,0.022835349999999997,0.027717322580645163,,0.03915617241379311,0.04223525,,0.04704741935483871,0.03183572413793103,0.024358714285714286,0.019344499999999997,0.017186586206896552,0.0195642962962963,0.02327237037037037,,,0.03536645161290323,,0.0534017619047619,,,0.02623889655172414,,,0.015359959999999999,0.02478825,0.029847964285714287,0.03819272413793103,0.03516962068965517,0.03908964285714286,0.04519388888888889,0.04783483870967742,0.03450913793103448
La Casa,39.77949,-105.00517999999998,,,0.031345033333333334,,,,,,0.03137653333333333,,,,,,,,,,,,0.034076499999999996,,,,,,,0.03637263333333333,,,0.04356993333333334,,,,,,,,0.03057836666666667,0.03622353333333333,,0.04582743333333333,,0.048894433333333334,0.038923599999999996,,0.019662766666666668,,,,,,,,,,
NATIONAL RENEWABLE ENERGY LABS - NREL,39.74372399999999,-105.177989,,,,,,,,,,,,,0.03425059259259259,,,,,,,,,,,0.032816962962962964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NATIONAL RENEWABLE ENERGY LABS - NREL,39.743724,-105.177989,0.0323921,0.032375928571428576,0.041222,0.043743300000000006,0.04584435483870968,0.0492372,,0.054890620689655174,0.045055733333333334,0.030754548387096774,0.034678499999999994,0.03362346666666667,,0.032245750000000004,0.04255596428571429,,0.04173858064516129,0.04881853333333333,0.050284645161290324,0.051945032258064516,0.0462351724137931,0.03414235483870968,,,0.03350596666666667,0.03631514285714286,0.03599429032258065,0.04291210344827586,0.04721963333333334,0.048852933333333334,0.05015206451612903,0.06053578571428571,0.04787820689655173,0.036656548387096775,0.035909833333333335,0.0351358275862069,0.03396473333333334,0.032970571428571425,0.04281176666666667,0.044158833333333335,0.042601483870967745,0.05397646666666667,0.06274196774193548,0.057738032258064516,0.0522804,0.04021558064516129,0.035619566666666665,0.036651100000000006,0.03486912903225806,0.04033821428571428,0.041341580645161295,0.046435366666666665,0.04558825,0.05022943333333333,0.05195096666666667,0.054500903225806446,0.04565920689655172
NATIONAL RENEWABLE ENERGY LABS - NREL,39.743724,-105.17798899999998,,,,,,,0.051955875000000006,,,,,,,,,0.042187583333333334,,,,,,,0.028379958333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROCKY FLATS-N,39.912799,-105.188587,0.0363358064516129,0.03658928571428571,0.044290290322580646,0.047426357142857145,0.049740964285714284,0.05224848148148148,0.05692035483870968,0.05541753333333333,0.044878137931034484,0.03208167741935484,0.03640711111111111,0.03388716666666667,0.03550983333333333,0.03294314285714286,0.04379806666666666,0.044688481481481475,0.04181763333333333,0.04944316666666667,0.050185903225806454,0.05229606451612903,0.0482594,0.03676670967741936,0.03250203333333333,0.03666476666666667,0.03812353333333333,0.040827551724137934,0.03909042307692308,0.04699193103448276,0.045821633333333334,0.049420846153846155,0.04997158064516129,0.058265645161290326,0.050327555555555556,0.03796890322580645,0.037578172413793104,0.03637256666666667,0.03453890322580645,0.03455988888888889,0.0440823,0.045317666666666666,0.0430151935483871,0.05381376666666667,0.06218974193548387,0.05884616129032258,0.054490827586206894,0.04157674193548387,0.037082533333333334,0.03869016666666667,0.03681486206896552,0.04208192857142857,0.0430412,0.04816666666666667,0.04705877419354839,0.052176499999999994,0.05296587096774193,0.05513093548387096,0.04764903448275862
WELCH,39.638781,-105.13948000000002,,,,,,,,,0.03180538461538462,,,,,0.029314423076923078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WELCH,39.638781,-105.13948,0.02786658064516129,0.027806037037037035,0.038456413793103446,0.04038015,0.04105871428571428,0.04451414814814814,0.048830874999999996,0.0478235625,,0.018899764705882352,0.02773404347826087,0.0278707,0.03090364,,0.03913096774193549,0.041448566666666666,0.039292172413793104,0.044790166666666666,0.045163857142857144,0.04857083870967742,0.04260103333333333,0.031180322580645164,0.026064666666666667,0.029305933333333332,0.03138043333333333,0.03523528571428571,0.03616893548387097,0.0424191724137931,0.04184825806451613,0.04338544827586207,0.043797666666666665,0.05293177419354839,0.04172546666666667,0.03200951612903226,0.0296978275862069,0.02932051724137931,,,,,,,,,,,,,,,,,,,,,
Welby,39.838119,-104.94984000000001,,,0.028333428571428572,,,,,,0.029003310344827584,,0.01847803448275862,,,,0.02924941379310345,,,,,0.03888641379310345,,,,0.012131666666666667,0.02029210344827586,0.0248681724137931,,,,,,,0.032284,,0.019068965517241382,,,0.027350560000000003,0.03359109523809524,,,,,,,,,,,,,,,,,,0.034348931034482756
Welby,39.838119,-104.94984,0.015352857142857142,0.022835750000000002,,0.03444906666666667,0.03639453333333333,,,,,,,,0.014972749999999998,,,0.0329432,0.0321334,0.036075866666666664,,,,0.021390366666666667,,,,,0.028927142857142856,0.035841200000000004,,0.03961335714285714,0.04198826666666667,,,0.023507866666666665,,0.016866666666666665,0.01971765,,,0.036419700000000006,0.03546214285714286,0.04361619230769231,,0.045390318181818184,0.03842093333333333,0.023972961538461537,0.01878925,0.01950895,0.02078925,0.027263115384615386,,0.04253916666666667,,0.04380769230769231,0.046258499999999994,0.047273071428571435,
Welby,39.838119,-104.94983999999998,,,,,,0.039466148148148146,0.04390329032258065,0.04120493548387097,,0.01874941935483871,,0.01695425925925926,,0.020713565217391306,,,,,0.03661861290322581,,0.03192533333333333,,0.015379913043478261,,,,,,0.03969885185185185,,,0.0460626129032258,,,,,,,,,,,0.051356806451612905,,,,,,,,0.03361109677419355,,0.04106209677419355,,,,
